Percentages,filename,true classes,predicted classes,style,title,source,size_bytes,pixelsy,pixelsx,genre,date,artist,Year
12.57,42889.jpg,0.0,0.0,Impressionism,"Palaces, Brussels",wikiart,912864.0,2581.0,1663.0,sketch and study,1887,James McNeill Whistler,1887
12.88,32736.jpg,1.0,0.0,Romanticism,Saint George and the Princess Sabra,wikiart,804637.0,2697.0,1589.0,religious painting,1862,Dante Gabriel Rossetti,1862
97.78,85761.jpg,1.0,1.0,Romanticism,Harvest,wikiart,333428.0,1674.0,2560.0,genre painting,1785,George Stubbs,1785
82.4,55137.jpg,0.0,1.0,Impressionism,Langland Bay,wikiart,511815.0,1674.0,2560.0,cityscape,1872,Alfred Sisley,1872
3.43,46190.jpg,0.0,0.0,Impressionism,Snow at Argenteuil 02,wikiart,891148.0,1784.0,2400.0,landscape,1874,Claude Monet,1874
89.27,62867.jpg,0.0,1.0,Impressionism,View of the Village of Castelnau-le-Lez,wikiart,2037677.0,2648.0,1613.0,portrait,1868,Frederic Bazille,1868
29.66,76306.jpg,1.0,0.0,Romanticism,"The Devil's Bridge, St. Gothard",wikiart,673044.0,2456.0,1738.0,landscape,0,William Turner,1870
34.77,37836.jpg,0.0,0.0,Impressionism,The Japanis Bridge (Footbridge over the Water-Lily Pond),wikiart,1688275.0,1706.0,2500.0,landscape,1924,Claude Monet,1924
20.71,35174.jpg,1.0,0.0,Romanticism,A Difference of Opinion,wikiart,572329.0,2672.0,1596.0,genre painting,1896,Sir Lawrence Alma-Tadema,1896
7.68,10958.jpg,1.0,0.0,Romanticism,The South Side of St Mark ,wikiart,2543745.0,2972.0,1432.0,cityscape,1851.0,John Ruskin,1851
25.78,49494.jpg,1.0,0.0,Romanticism,The Royalist,wikipedia,890879.0,2516.0,1691.0,genre painting,0,John Everett Millais,1870
10.91,41138.jpg,0.0,0.0,Impressionism,Snow Effect,wikiart,1713944.0,1755.0,2423.0,genre painting,1880,Giuseppe de Nittis,1880
3.24,102431.jpg,1.0,0.0,Romanticism,The Order of Release,wikiart,682283.0,2510.0,1692.0,genre painting,1853.0,John Everett Millais,1853
37.38,88207.jpg,0.0,0.0,Impressionism,The Birthday Party,wikiart,1338852.0,1860.0,2282.0,genre painting,1887,John Singer Sargent,1887
35.69,41060.jpg,0.0,0.0,Impressionism,Path at Varengeville,wikiart,1385947.0,2300.0,1845.0,landscape,1882,Claude Monet,1882
3.8,7330.jpg,0.0,0.0,Impressionism,White and Yellow Chrysanthemums,wikiart,854403.0,2289.0,1851.0,flower painting,1893,Gustave Caillebotte,1893
42.38,31113.jpg,0.0,0.0,Impressionism,The Boulevard Viewed from Above,wikiart,880973.0,2289.0,1851.0,cityscape,1880,Gustave Caillebotte,1880
8.29,71822.jpg,1.0,0.0,Romanticism,View of Church of the Nativity in 1833,wikipedia,3258280.0,1755.0,2412.0,interior,1833,Maxim Vorobiev,1833
2.69,103118.jpg,1.0,0.0,Romanticism,Antony and Cleopatra,wikiart,366797.0,1723.0,2456.0,literary painting,1883,Sir Lawrence Alma-Tadema,1883
42.47,61331.jpg,1.0,0.0,Romanticism,Coal cars,wikiart,433343.0,1653.0,2560.0,genre painting,1822,Theodore Gericault,1822
1.4,26311.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 7",wikiart,1598351.0,1833.0,2305.0,illustration,0,Gustave Dore,1870
74.15,36982.jpg,1.0,1.0,Romanticism,The Ducal Palace,wikiart,2289354.0,2568.0,1644.0,interior,1850.0,John Ruskin,1850
57.21,2409.jpg,1.0,1.0,Romanticism,Astarte Syriaca,wikiart,502118.0,2645.0,1596.0,mythological painting,1878,Dante Gabriel Rossetti,1878
13.31,74080.jpg,1.0,0.0,Romanticism,"Venice, seen from the Giudecca Canal ",wikiart,396160.0,1648.0,2560.0,cityscape,1840,William Turner,1840
6.27,69687.jpg,0.0,0.0,Impressionism,Two Vases with Chrysanthems,wikiart,1584730.0,1833.0,2300.0,flower painting,1888,Claude Monet,1888
4.56,49552.jpg,1.0,0.0,Romanticism,King Cophetua and the Beggar Maid,wikiart,6206569.0,3058.0,1378.0,literary painting,1884,Edward Burne-Jones,1884
34.89,62217.jpg,1.0,0.0,Romanticism,A Kiss,wikiart,218450.0,1720.0,2449.0,genre painting,1891,Sir Lawrence Alma-Tadema,1891
10.3,93614.jpg,0.0,0.0,Impressionism,The Secret Rendez Vous,wikiart,3517499.0,2401.0,1751.0,genre painting,1890,James Tissot,1890
22.19,22411.jpg,0.0,0.0,Impressionism,Interior of a Studio,wikiart,555780.0,2289.0,1834.0,interior,c.1874,Gustave Caillebotte,1874
44.14,71583.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 10",wikiart,1367699.0,2286.0,1836.0,illustration,0,Gustave Dore,1870
2.16,93464.jpg,1.0,0.0,Romanticism,The wedding of Saint George and Princess Sabra,wikiart,697909.0,2073.0,2024.0,religious painting,1857,Dante Gabriel Rossetti,1857
65.35,5006.jpg,1.0,1.0,Romanticism,The Gates of the Hills ,wikiart,1644544.0,2176.0,1928.0,landscape,1855.0,John Ruskin,1855
94.32,100691.jpg,0.0,1.0,Impressionism,Monte Carlo Seen from Roquebrune,wikiart,516570.0,1826.0,2295.0,cityscape,1884,Claude Monet,1884
13.17,39848.jpg,0.0,0.0,Impressionism,In the Sunshine,wikiart,606225.0,1809.0,2316.0,genre painting,c.1881,James Tissot,1881
1.37,100412.jpg,1.0,0.0,Romanticism,Comparisons,wikiart,399129.0,1709.0,2450.0,genre painting,1892,Sir Lawrence Alma-Tadema,1892
7.94,37778.jpg,0.0,0.0,Impressionism,The Small Arm of the Seine at Argenteuil,wikiart,1015936.0,1774.0,2357.0,landscape,1876,Claude Monet,1876
20.2,24081.jpg,0.0,0.0,Impressionism,Harney Desert 02,wikiart,492665.0,1940.0,2155.0,landscape,1908,Childe Hassam,1908
29.6,40783.jpg,0.0,0.0,Impressionism,Semiramis Building Babylon,wikiart,767237.0,1553.0,2683.0,history painting,1861,Edgar Degas,1861
82.1,96381.jpg,0.0,1.0,Impressionism,Beach Scene,wikiart,787530.0,1529.0,2723.0,genre painting,1877,Edgar Degas,1877
29.4,83944.jpg,1.0,0.0,Romanticism,The Twig,wikiart,820597.0,2332.0,1785.0,portrait,1865,Dante Gabriel Rossetti,1865
25.45,65035.jpg,0.0,0.0,Impressionism,Autumn Effect at Argenteuil,wikipedia,2082276.0,1663.0,2500.0,landscape,1873,Claude Monet,1873
49.33,51713.jpg,1.0,0.0,Romanticism,Portrait of Colonel Alasdair Mcdonnell of Glengarry,wikiart,208482.0,2638.0,1576.0,portrait,c.1812,Henry Raeburn,1812
97.26,65424.jpg,1.0,1.0,Romanticism,The Seed of David,wikiart,729804.0,1776.0,2340.0,religious painting,1858,Dante Gabriel Rossetti,1858
14.48,63050.jpg,1.0,0.0,Romanticism,Nattlig marin med brinnande fartyg,wikiart,961268.0,1721.0,2414.0,marina,0,Marcus Larson,1870
2.0,88198.jpg,1.0,0.0,Romanticism,Portrait of Constance Mayer,wikiart,357162.0,2351.0,1767.0,portrait,1804,Pierre-Paul Prud'hon,1804
30.24,4696.jpg,0.0,0.0,Impressionism,Boulevard des Italiens,wikiart,828552.0,1846.0,2248.0,cityscape,c.1880,Gustave Caillebotte,1880
14.01,22862.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 34",wikiart,1433921.0,1820.0,2280.0,illustration,0,Gustave Dore,1870
45.27,65048.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 8",wikiart,1371854.0,1817.0,2283.0,illustration,0,Gustave Dore,1870
76.17,47995.jpg,1.0,1.0,Romanticism,Sappho and Alcaeus,wikiart,322066.0,1576.0,2632.0,history painting,1881,Sir Lawrence Alma-Tadema,1881
39.14,75263.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 32",wikiart,1167102.0,1817.0,2280.0,illustration,0,Gustave Dore,1870
78.5,71807.jpg,1.0,1.0,Romanticism,Horse Devoured by a Lion,wikiart,1859241.0,1657.0,2500.0,wildlife painting,0,George Stubbs,1870
65.43,69158.jpg,1.0,1.0,Romanticism,The Strolling Players,wikiart,2558112.0,2362.0,1753.0,genre painting,1793,Francisco Goya,1793
5.39,84656.jpg,0.0,0.0,Impressionism,Return of the Terre Neuvier,wikiart,542562.0,1701.0,2432.0,genre painting,1875,Eugene Boudin,1875
93.32,17188.jpg,1.0,1.0,Romanticism,"The Inferno, Canto 8",wikiart,1535677.0,1808.0,2287.0,illustration,0,Gustave Dore,1870
75.63,79065.jpg,1.0,1.0,Romanticism,Madame Copia,wikiart,270725.0,2286.0,1808.0,portrait,1792,Pierre-Paul Prud'hon,1792
34.18,48388.jpg,0.0,0.0,Impressionism,The Family Doctor János Plesch,wikiart,824909.0,1778.0,2322.0,portrait,1928.0,Max Slevogt,1928
71.05,38032.jpg,1.0,1.0,Romanticism,A Street in Venice ,wikiart,2344495.0,2632.0,1568.0,sketch and study,1876.0,John Ruskin,1876
15.5,99952.jpg,1.0,0.0,Romanticism,Unconscious Rivals,wikiart,369718.0,1685.0,2449.0,genre painting,1893,Sir Lawrence Alma-Tadema,1893
1.45,17946.jpg,1.0,0.0,Romanticism,On the Pontine swamps,wikiart,2373645.0,1808.0,2281.0,landscape,1851,Arnold Böcklin,1851
17.72,43561.jpg,1.0,0.0,Romanticism,Hotel de Ville Brussels ,wikiart,2500206.0,2512.0,1640.0,cityscape,1833.0,John Ruskin,1833
96.33,7.jpg,1.0,1.0,Romanticism,"The Inferno, Canto 28",wikiart,1640937.0,1818.0,2265.0,illustration,0,Gustave Dore,1870
5.18,23470.jpg,0.0,0.0,Impressionism,Study of Gentile Bellini,wikiart,1106053.0,2517.0,1635.0,sketch and study,1855,Edgar Degas,1855
96.92,47545.jpg,1.0,1.0,Romanticism,"The Inferno, Canto 21",wikiart,1482054.0,1817.0,2264.0,illustration,0,Gustave Dore,1870
44.15,74017.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 32",wikiart,1541977.0,1787.0,2299.0,illustration,0,Gustave Dore,1870
2.49,36615.jpg,1.0,0.0,Romanticism,Trust Me,wikiart,508491.0,2508.0,1637.0,genre painting,1862.0,John Everett Millais,1862
5.29,93750.jpg,0.0,0.0,Impressionism,"Francisco d'Andrade, Reading a Newspaper",wikiart,3329100.0,1821.0,2253.0,portrait,1903.0,Max Slevogt,1903
10.52,788.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 30",wikiart,1737439.0,1814.0,2261.0,illustration,0,Gustave Dore,1870
28.12,45917.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 18",wikiart,1195315.0,1805.0,2271.0,illustration,0,Gustave Dore,1870
8.02,38208.jpg,1.0,0.0,Romanticism,The Finding of Moses,wikiart,1165427.0,1669.0,2456.0,religious painting,1904,Sir Lawrence Alma-Tadema,1904
1.68,30960.jpg,1.0,0.0,Romanticism,The Blessed Damozel,wikiart,702422.0,2658.0,1542.0,genre painting,1878,Dante Gabriel Rossetti,1878
98.77,18035.jpg,0.0,1.0,Impressionism,The White Bridge,wikipedia,406664.0,2024.0,2024.0,landscape,1897,John Henry Twachtman,1897
1.67,16758.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 33",wikiart,1584832.0,1811.0,2261.0,illustration,0,Gustave Dore,1870
10.65,90313.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 33",wikiart,1481331.0,1802.0,2271.0,illustration,0,Gustave Dore,1870
3.05,94520.jpg,1.0,0.0,Romanticism,"A Huguenot, on St. Bartholomew's Day, Refusing to Shield Himself from Danger by Wearing the Roman Catholic Badge ",wikiart,512420.0,2509.0,1630.0,history painting,1852.0,John Everett Millais,1852
35.43,14961.jpg,1.0,0.0,Romanticism,The Childhood of Mary Virgin,wikiart,1000646.0,2374.0,1722.0,religious painting,1849,Dante Gabriel Rossetti,1849
24.69,74444.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 5",wikiart,1397503.0,2261.0,1808.0,illustration,0,Gustave Dore,1870
96.4,66583.jpg,1.0,1.0,Romanticism,Passion Flowers with Hummingbirds,wikiart,619116.0,1728.0,2365.0,animal painting,1883.0,Martin Johnson Heade,1883
96.22,93631.jpg,1.0,1.0,Romanticism,"The Inferno, Canto 15",wikiart,1491723.0,1787.0,2285.0,illustration,0,Gustave Dore,1870
9.94,33916.jpg,1.0,0.0,Romanticism,Yarmouth Pier,wikiart,1768012.0,1595.0,2560.0,landscape,1822,John Constable,1822
11.06,43966.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 7",wikiart,1592849.0,1805.0,2261.0,illustration,0,Gustave Dore,1870
51.85,42753.jpg,1.0,1.0,Romanticism,"The Inferno, Canto 13",wikiart,1582359.0,1790.0,2279.0,illustration,0,Gustave Dore,1870
1.57,76166.jpg,0.0,0.0,Impressionism,Melon and Fruit Bowl with Figs,wikiart,815015.0,1842.0,2214.0,still life,1882,Gustave Caillebotte,1882
31.38,18873.jpg,0.0,0.0,Impressionism,"Argenteuil, Flowers by the Riverbank",wikiart,823938.0,1847.0,2208.0,landscape,1877,Claude Monet,1877
24.03,59016.jpg,0.0,0.0,Impressionism,"Interior, Woman Reading",wikiart,620824.0,1820.0,2240.0,genre painting,1880,Gustave Caillebotte,1880
8.7,75900.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 24",wikiart,1746227.0,1789.0,2277.0,illustration,0,Gustave Dore,1870
98.3,60516.jpg,1.0,1.0,Romanticism,"The Inferno, Canto 22",wikiart,1665361.0,2280.0,1786.0,illustration,0,Gustave Dore,1870
24.21,53020.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 32",wikiart,1196071.0,1808.0,2252.0,illustration,0,Gustave Dore,1870
59.49,83631.jpg,1.0,1.0,Romanticism,View on Lake Winnipiseogee,wikiart,802526.0,1735.0,2345.0,landscape,1828,Thomas Cole,1828
96.86,72434.jpg,1.0,1.0,Romanticism,Seascape Study with Rain Cloud,wikiart,1267169.0,1719.0,2363.0,marina,c.1827,John Constable,1827
97.95,39019.jpg,1.0,1.0,Romanticism,Rainstorm over the Sea,wikiart,1267169.0,1719.0,2363.0,marina,1828,John Constable,1828
73.55,92016.jpg,0.0,1.0,Impressionism,Young Girl Seated in a Yellow Armchair,wikiart,589371.0,2188.0,1854.0,portrait,c.1902,Mary Cassatt,1902
15.04,14046.jpg,1.0,0.0,Romanticism,Christ in the House of His Parents,wikiart,631002.0,1603.0,2530.0,religious painting,1849.0,John Everett Millais,1849
55.67,68380.jpg,1.0,1.0,Romanticism,Once it Chased Dr. Wilkerson Into the Very Town Itself ,wikiart,640859.0,2505.0,1618.0,illustration,1909.0,Howard Pyle,1909
5.88,70268.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 12",wikiart,1469733.0,1799.0,2252.0,illustration,0,Gustave Dore,1870
44.16,33868.jpg,1.0,0.0,Romanticism,Regina Cordium: Alice Wilding,wikiart,899788.0,2281.0,1776.0,portrait,1866,Dante Gabriel Rossetti,1866
82.41,40724.jpg,1.0,1.0,Romanticism,Study for Ophelia,wikiart,468301.0,1724.0,2348.0,sketch and study,1852.0,John Everett Millais,1852
20.89,77709.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 12",wikiart,1598473.0,2246.0,1802.0,illustration,0,Gustave Dore,1870
13.67,37600.jpg,1.0,0.0,Romanticism,"The Spirit of Justice, study for the head of a Counsellor",wikiart,707860.0,2409.0,1680.0,sketch and study,c.1844,Ford Madox Brown,1844
16.07,9023.jpg,0.0,0.0,Impressionism,On the Bridge,wikiart,1269140.0,1618.0,2500.0,genre painting,1888.0,Georg Pauli,1888
47.05,58161.jpg,1.0,0.0,Romanticism,Ferdinand Lured by Ariel,wikiart,431110.0,2397.0,1687.0,literary painting,1850.0,John Everett Millais,1850
77.44,3687.jpg,1.0,1.0,Romanticism,"The Inferno, Canto 5",wikiart,1375749.0,2259.0,1790.0,illustration,0,Gustave Dore,1870
47.56,50271.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 9",wikiart,1433530.0,1805.0,2239.0,illustration,0,Gustave Dore,1870
57.89,9086.jpg,1.0,1.0,Romanticism,"The Inferno, Canto 19",wikiart,1438536.0,2261.0,1786.0,illustration,0,Gustave Dore,1870
65.69,14092.jpg,0.0,1.0,Impressionism,The Parquet Planers,wikiart,568521.0,1793.0,2252.0,genre painting,1876,Gustave Caillebotte,1876
11.82,82556.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 18",wikiart,1428946.0,2267.0,1780.0,illustration,0,Gustave Dore,1870
45.77,12419.jpg,0.0,0.0,Impressionism,Traffic Island on Boulevard Haussmann,wikiart,877599.0,1801.0,2240.0,cityscape,c.1880,Gustave Caillebotte,1880
94.01,3457.jpg,1.0,1.0,Romanticism,Justice and Divine Vengeance pursuing Crime (study),wikiart,656290.0,1790.0,2253.0,sketch and study,1808,Pierre-Paul Prud'hon,1808
95.04,81283.jpg,1.0,1.0,Romanticism,Portrait of Colonel Evgraf V. Davydov  ,wikiart,1126302.0,2370.0,1700.0,portrait,1809,Orest Kiprensky,1809
13.05,78299.jpg,0.0,0.0,Impressionism,Women on the Beach at Berck,wikiart,461544.0,1671.0,2411.0,genre painting,1881,Eugene Boudin,1881
38.69,38958.jpg,1.0,0.0,Romanticism,St. Peter's from the south,wikiart,392503.0,1572.0,2560.0,cityscape,1819,William Turner,1819
18.0,32955.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 33",wikiart,1485427.0,1777.0,2264.0,illustration,0,Gustave Dore,1870
13.07,87286.jpg,1.0,0.0,Romanticism,Cymon and Iphigenia,wikiart,727320.0,1717.0,2343.0,mythological painting,1851.0,John Everett Millais,1851
10.34,32406.jpg,1.0,0.0,Romanticism,Portrait of Darya Nikolaevna Chvostova,wikiart,1076038.0,2233.0,1800.0,portrait,1814,Orest Kiprensky,1814
15.69,85764.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 21",wikiart,1425075.0,1783.0,2252.0,illustration,0,Gustave Dore,1870
25.03,98872.jpg,0.0,0.0,Impressionism,"Man on a Balcony, Boulevard Haussmann",wikiart,696097.0,2293.0,1748.0,genre painting,1880,Gustave Caillebotte,1880
4.39,27545.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 12",wikiart,1497886.0,1768.0,2267.0,illustration,0,Gustave Dore,1870
15.02,63909.jpg,1.0,0.0,Romanticism,Portrait of a woman with her child,wikiart,265063.0,2298.0,1744.0,portrait,0,Pierre-Paul Prud'hon,1870
70.22,19289.jpg,1.0,1.0,Romanticism,"The Inferno, Canto 5",wikiart,1661998.0,2251.0,1780.0,illustration,0,Gustave Dore,1870
33.27,88412.jpg,1.0,0.0,Romanticism,The Godhead Fires,wikiart,499465.0,2387.0,1678.0,mythological painting,1878,Edward Burne-Jones,1878
2.3,29443.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 34",wikiart,1261491.0,2246.0,1783.0,illustration,0,Gustave Dore,1870
19.85,73851.jpg,1.0,0.0,Romanticism,Sir Launcelot in the Queen`s Chamber,wikiart,1517880.0,1721.0,2326.0,literary painting,0,Dante Gabriel Rossetti,1870
32.39,11505.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 6",wikiart,1316555.0,1789.0,2237.0,illustration,0,Gustave Dore,1870
14.43,103127.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 30",wikiart,1705206.0,2240.0,1786.0,illustration,0,Gustave Dore,1870
82.05,48706.jpg,1.0,1.0,Romanticism,"The Inferno, Canto 22",wikiart,1529630.0,1767.0,2262.0,illustration,0,Gustave Dore,1870
87.64,46234.jpg,1.0,1.0,Romanticism,High mountains with chamoises,wikiart,1887085.0,1797.0,2224.0,landscape,1849,Arnold Böcklin,1849
45.49,33584.jpg,0.0,0.0,Impressionism,Dancer,wikiart,507669.0,1974.0,2024.0,genre painting,0,Edgar Degas,1870
82.73,57848.jpg,1.0,1.0,Romanticism,A Sea Spell,wikiart,605725.0,2238.0,1785.0,portrait,1877,Dante Gabriel Rossetti,1877
80.72,52914.jpg,1.0,1.0,Romanticism,Hero and Leander's farewell,wikiart,303116.0,1558.0,2560.0,literary painting,1837,William Turner,1837
86.99,40720.jpg,1.0,1.0,Romanticism,Portrait of the Count G.Bobrinsky,wikiart,1091973.0,2485.0,1605.0,portrait,0,Konstantin Makovsky,1870
87.53,23121.jpg,1.0,1.0,Romanticism,A Coign of Vantage,wikiart,594996.0,2407.0,1655.0,genre painting,1895,Sir Lawrence Alma-Tadema,1895
3.58,56039.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 13",wikiart,1568003.0,1771.0,2249.0,illustration,0,Gustave Dore,1870
16.69,18772.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 9",wikiart,1411920.0,2221.0,1790.0,illustration,0,Gustave Dore,1870
25.26,76219.jpg,1.0,0.0,Romanticism,The Blue Closet,wikiart,7810274.0,2332.0,1704.0,genre painting,1857,Dante Gabriel Rossetti,1857
79.47,93548.jpg,0.0,1.0,Impressionism,Spring Flowers,wikiart,770931.0,2337.0,1700.0,flower painting,1864,Claude Monet,1864
70.49,63889.jpg,0.0,1.0,Impressionism,Lungo l'Ofanto,wikiart,1569574.0,1584.0,2506.0,landscape,1870,Giuseppe de Nittis,1870
39.52,2298.jpg,0.0,0.0,Impressionism,"Vetheuil, The Church  in Winter",wikiart,922961.0,2337.0,1698.0,cityscape,1879,Claude Monet,1879
97.96,76238.jpg,1.0,1.0,Romanticism,Portrait of Bryce McMurdo,wikipedia,464098.0,2514.0,1576.0,portrait,c.1800,Henry Raeburn,1800
33.28,19267.jpg,1.0,0.0,Romanticism,"The Inferno, Canto 31",wikiart,1656183.0,1779.0,2227.0,illustration,0,Gustave Dore,1870
16.42,37146.jpg,0.0,0.0,Impressionism,Regatta at Argenteuil,wikiart,669668.0,2334.0,1697.0,genre painting,1893,Gustave Caillebotte,1893
42.3,26647.jpg,1.0,0.0,Romanticism,Sir Francis Burdett,wikiart,689135.0,3297.0,1200.0,sketch and study,0,Edwin Henry Landseer,1870
14.3,82613.jpg,0.0,0.0,Impressionism,The Canoes,wikiart,804348.0,2332.0,1695.0,genre painting,1878,Gustave Caillebotte,1878
20.78,15743.jpg,1.0,0.0,Romanticism,The Roses of Heliogabalus,wikiart,450979.0,1609.0,2455.0,genre painting,1888,Sir Lawrence Alma-Tadema,1888
37.06,7297.jpg,0.0,0.0,Impressionism,"Ecola Beach, Oregon",wikiart,354585.0,1826.0,2162.0,landscape,1904,Childe Hassam,1904
34.48,36429.jpg,0.0,0.0,Impressionism,Portrait of Madame X...,wikiart,672561.0,2299.0,1717.0,portrait,1878,Gustave Caillebotte,1878
32.7,3644.jpg,0.0,0.0,Impressionism,Woman at a Dressing Table,wikiart,722547.0,1770.0,2229.0,genre painting,c.1873,Gustave Caillebotte,1873
2.94,65210.jpg,0.0,0.0,Impressionism,Man at His Bath,wikiart,544303.0,2329.0,1694.0,genre painting,1884,Gustave Caillebotte,1884
2.73,16660.jpg,0.0,0.0,Impressionism,Billiards,wikiart,594244.0,1694.0,2329.0,genre painting,c.1876,Gustave Caillebotte,1876
5.99,22382.jpg,0.0,0.0,Impressionism,"Seascape, Regatta at Villers",wikiart,608386.0,1694.0,2329.0,marina,c.1884,Gustave Caillebotte,1884
32.97,19310.jpg,0.0,0.0,Impressionism,Seehafen,wikiart,414195.0,1541.0,2560.0,landscape,1870,Eugene Boudin,1870
26.31,99112.jpg,0.0,0.0,Impressionism,The Orange Trees or The Artist's Brother in His Garden,wikiart,618697.0,2329.0,1693.0,genre painting,1878,Gustave Caillebotte,1878
93.57,50613.jpg,0.0,1.0,Impressionism,"Spring Morning in the Heart of the City (aka Madison Square, New York)",wikiart,372953.0,2337.0,1685.0,cityscape,0,Childe Hassam,1870
42.41,65263.jpg,1.0,0.0,Romanticism,View from my Window at Mornex ,wikiart,2109485.0,1660.0,2372.0,landscape,1863.0,John Ruskin,1863
97.95,36062.jpg,1.0,1.0,Romanticism,The Abbey in the Oakwood,wikiart,965410.0,1559.0,2524.0,landscape,1810,Caspar David Friedrich,1810
62.67,3170.jpg,0.0,1.0,Impressionism,Winter Landscape,wikiart,419716.0,1993.0,1974.0,landscape,1900,John Henry Twachtman,1900
79.42,61268.jpg,0.0,1.0,Impressionism,In the Garden (aka Celia Thaxter in Her Garden,wikiart,518724.0,2199.0,1789.0,genre painting,0,Childe Hassam,1870
47.47,43845.jpg,1.0,0.0,Romanticism,The Baths of Caracalla,wikiart,293086.0,2453.0,1603.0,genre painting,1899,Sir Lawrence Alma-Tadema,1899
46.62,9013.jpg,1.0,0.0,Romanticism,"Portrait of Charlotte Walsingham, Lady Fitzgerald",wikipedia,2772091.0,2249.0,1747.0,portrait,0,John Hoppner,1870
93.64,30642.jpg,1.0,1.0,Romanticism,Ninety four in the Shade,wikiart,308381.0,2429.0,1617.0,genre painting,1876,Sir Lawrence Alma-Tadema,1876
15.46,69900.jpg,0.0,0.0,Impressionism,June,wikiart,531400.0,1994.0,1968.0,nude painting (nu),1905,Childe Hassam,1905
2.9,57842.jpg,0.0,0.0,Impressionism,"Path under the Rose Arches, Giverny",wikiart,1410537.0,1962.0,2000.0,landscape,1922,Claude Monet,1922
10.59,22913.jpg,0.0,0.0,Impressionism,Untitled,wikiart,1211669.0,2394.0,1638.0,landscape,0,Georg Pauli,1870
42.81,77985.jpg,0.0,0.0,Impressionism,The Beach at Honfleux,wikiart,2095127.0,1712.0,2289.0,landscape,0,Claude Monet,1870
47.44,68913.jpg,0.0,0.0,Impressionism,"Interior, Woman at the Window",wikiart,537559.0,2303.0,1700.0,genre painting,1880,Gustave Caillebotte,1880
49.88,22142.jpg,1.0,0.0,Romanticism,Mariana in the Moated Grange,wikiart,327358.0,2273.0,1722.0,portrait,1851.0,John Everett Millais,1851
45.13,35495.jpg,0.0,0.0,Impressionism,Strada Romada in Bordighera,wikiart,1643598.0,1774.0,2206.0,landscape,1884,Claude Monet,1884
27.76,74006.jpg,1.0,0.0,Romanticism,Fredegunda Praetextatus visit on his deathbed,wikiart,2359758.0,1681.0,2327.0,history painting,0,Sir Lawrence Alma-Tadema,1870
6.63,32935.jpg,1.0,0.0,Romanticism,Self Portrait ,wikiart,2541529.0,2284.0,1708.0,landscape,1861.0,John Ruskin,1861
68.96,93210.jpg,1.0,1.0,Romanticism,"The Inferno, Canto 34",wikiart,1140315.0,2230.0,1749.0,illustration,0,Gustave Dore,1870
8.97,72065.jpg,1.0,0.0,Romanticism,Full Face of Cobra ,wikiart,2258986.0,2552.0,1528.0,sketch and study,1871.0,John Ruskin,1871
22.49,41954.jpg,0.0,0.0,Impressionism,Rider on the Beach,wikiart,2801283.0,1835.0,2125.0,genre painting,1904,Max Liebermann,1904
3.63,66096.jpg,0.0,0.0,Impressionism,"Etretat, the Needle Rock and Porte d'Aval",wikiart,758104.0,2597.0,1500.0,landscape,1885,Claude Monet,1885
42.65,40054.jpg,0.0,0.0,Impressionism,Self Portrait,wikiart,377492.0,2471.0,1576.0,self-portrait,0,Nicolae Grigorescu,1870
18.94,64069.jpg,0.0,0.0,Impressionism,"After the Bath, Woman Drying Her Nape",wikiart,425201.0,1917.0,2024.0,nude painting (nu),1895,Edgar Degas,1895
89.05,68839.jpg,1.0,1.0,Romanticism,Stone Pines at Sestri,wikiart,2638821.0,2260.0,1716.0,landscape,1845.0,John Ruskin,1845
13.93,73473.jpg,0.0,0.0,Impressionism,Fantasia Arabe,wikiart,813939.0,1503.0,2579.0,genre painting,1884,Theo van Rysselberghe,1884
21.13,6615.jpg,1.0,0.0,Romanticism,Reverend Basil Bury Beridge,wikiart,113937.0,2235.0,1734.0,portrait,c.1785,Joseph Wright,1785
10.06,70742.jpg,1.0,0.0,Romanticism,Tsar Ivan IV the Terrible,wikiart,714198.0,2655.0,1459.0,portrait,1897.0,Viktor Vasnetsov,1897
